Name,status,tags
Ranking my Math Classes,posted,
Double Pendulum,posted,
Explanation of Dall-E (an AI drew this image),posted,"explainer, tech"
Learning Machine Learning in 2021,posted,"easy, explainer, tech"
My First Hackathon Experience,posted,"coding, easy, entertainment, explainer, tech"
An AI wrote a script for this anime,posted,"entertainment, tech"
My Top 5 High School Classes,posted,"entertainment, productivity, school/college"
100 Days of Code Introduction,posted,"business, entertainment, productivity, tech"
I got an AI to give me TikTok Ideas,posted,"easy, entertainment, tech"
ASCII Video Rick Roll,posted,"entertainment, tech"
Donut Shaped C Code,posted,"entertainment, explainer, tech"
Go TO Hackathons,posted,"explainer, productivity, tech"
Code With Me Vlog #1,posted,"business, entertainment, productivity, tech, vlog"
Build a Machine Learning Model in 60 seconds,posted,"business, coding, explainer, machine learning, math, tech"
I got an AI to write College Essays!,posted,"coding, entertainment, explainer, machine learning, productivity, tech"
Math for Machine Learning,posted,"coding, explainer, machine learning, math, productivity, tech"
I asked an AI what Passion Looks Like,posted,"coding, easy, entertainment, explainer, machine learning, math, productivity, tech"
AI Plays Flappy Bird/Temple Run,posted,"coding, entertainment, explainer, machine learning, productivity, tech"
How To Speak Math (What Math Terminology Means) series,posted,"easy, entertainment, explainer, math, school/college"
How To Speak Programmer (What Computer Science Terms Mean) series,posted,"coding, entertainment, explainer, productivity, programming, school/college, tech"
Working on Bookish TikTok,posted,"coding, entertainment, machine learning, programming, tech, vlog"
10 Years of Coding | How I Learned To Code,posted,"coding, entertainment, productivity, programming, tech, vlog"
Check out RapidAPI,posted,"easy, entertainment, productivity, programming, tech"
LeetCode Solutions and Such,posted,"coding, easy, entertainment, explainer, programming, school/college, tech"
Morning Vlog,posted,"entertainment, productivity, school/college, vlog"
Morning Routine Vlog,posted,"entertainment, productivity, school/college, vlog, voiceover"
POV: You're trying to get better at life,posted,"entertainment, productivity, school/college, vlog"
How I would Learn To Code If I had To Start from Scratch,posted,"entertainment, explainer, productivity, programming, tech"
My Computer Science Journey,posted,"entertainment, productivity, programming, tech, vlog"
How I Would Learn Data Science If I Had To Start From Scratch,posted,"entertainment, explainer, machine learning, productivity, programming, tech"
My Three Favorite Data Science Projects,posted,"entertainment, machine learning, productivity, programming, tech"
A Lazy Day,posted,"entertainment, productivity, vlog"
Here's How I Organize My Day With Obsidian,posted,"entertainment, explainer, productivity"
Here's How I Would Learn To Code If I had To Start from Scratch (High Quality),posted,"entertainment, explainer, productivity, programming, school/college, tech"
Different Types of Programmers,posted,"entertainment, programming, school/college, sketch, tech"
MiniVlog 07/21/21,posted,"entertainment, productivity, school/college, vlog"
How Do You Actually Build Projects?,posted,"coding, explainer, productivity, programming, school/college, tech"
Introduction TikTok,posted,"business, entertainment, productivity, tech"
Ask your CS and Coding Questions,posted,"easy, explainer, tech"
Recaman Sequence,posted,"entertainment, explainer, math, tech"
VQGAN + CLIP ANIMATIONS!! MANY OF THEMMM.,posted,"entertainment, tech"
Two Tips for Beginner Programmers,posted,"machine learning, math, productivity, programming, vlog, voiceover"
Happiness AI Drawing,posted,
Terror AI Drawing,posted,
Kindness AI Drawing,posted,
Magic AI Drawing,posted,
Tips for Time Management TikTok,posted,
Things I Wish I Knew Before I Learned How To Code,posted,"coding, easy, entertainment, explainer, school/college, tech, voiceover"
You need to fail.,posted,"coding, entertainment, productivity, school/college, tech, voiceover"
Three Fun APIS to use for Coding Projects,posted,"coding, entertainment, productivity, school/college, tech"
What I'm using to organize my life at college!,posted,"productivity, school/college, tech, voiceover"
How deleting 11 lines of code broke the internet,posted,
Using AI To Generate Memes,idea,
